#time	#addressInBinary	#r/w
17	227	r
10	136	r
7	253	w
9	118	w
14	19	w
20	24	r
14	51	w
1	215	w
16	120	w
16	30	w
2	58	r
4	240	r
8	174	w
3	191	r
1	200	w
2	15	w
20	236	r
17	16	w
8	4	w
16	135	w
5	248	r
13	191	r
6	146	r
7	1	w
19	29	w
18	206	w
1	1	w
3	190	r
16	205	r
1	136	w
5	96	w
3	57	r
5	154	r
9	128	w
17	99	r
12	84	r
3	109	r
15	223	r
7	131	w
7	207	r
14	227	r
17	249	w
11	1	w
15	170	r
1	178	w
11	225	w
8	72	r
2	210	r
6	144	w
15	134	r
1	59	r
8	167	w
3	137	w
1	115	w
19	103	w
8	130	r
5	145	r
12	150	r
10	79	r
7	137	r
3	206	w
15	125	r
5	207	w
16	95	w
13	173	r
8	28	r
16	1	w
1	200	w
15	81	r
6	31	r
18	1	r
18	220	w
20	168	r
8	103	r
3	195	w
17	110	r
14	73	w
19	157	w
15	60	r
17	181	w
1	142	r
19	3	r
18	187	r
13	62	w
3	0	r
18	104	r
18	249	r
7	68	w
20	222	w
6	22	r
11	119	w
2	205	r
12	151	w
7	163	w
16	81	w
17	78	r
11	184	w
15	142	w
9	154	w
18	43	r
