#time	#addressInBinary	#r/w
5	133	r
3	244	r
1	220	r
9	177	w
10	185	r
13	179	w
13	153	r
12	215	r
5	77	w
11	240	w
12	1	r
13	164	r
3	185	r
8	114	r
6	124	w
8	185	w
4	42	r
7	64	w
10	96	w
9	18	w
8	80	r
11	31	w
8	212	r
9	73	r
11	50	w
4	125	r
11	145	r
12	205	r
7	219	r
2	148	r
8	26	w
9	243	r
6	18	r
12	83	w
1	105	r
7	12	w
6	240	w
12	174	r
10	30	r
6	141	r
10	235	w
6	58	r
11	29	r
1	79	w
7	65	r
13	112	r
13	149	r
11	218	w
13	128	w
5	231	w
10	32	r
8	124	r
12	26	r
3	206	w
4	225	r
1	135	r
10	60	w
4	146	w
6	86	r
11	101	w
10	82	w
10	56	w
5	10	w
4	218	w
5	251	r
